pseoInstitutionId,name,state,city,lat,lon,tuitionInState,tuitionOutState,roomCost,bookCost,totalCostEstimate,loanPrincipal,pellGrantRate,federalLoanRate,studentsWithAnyLoan,medianDebtOverall,completerDebt,monthlyPayment,gradCohort,gradCohortYears,y1P25Earnings,y1P50Earnings,y1P75Earnings,y1GradsEarn,y1IpedsCount,earningsDebtRatio,matchMethod
00175000,Dominican University,IL,River Forest,41.902678,-87.823003,35420,35420,10865,1200,47485,19500,0.4644,0.6597,0.907926341,19500,25000,249.92,2019,3,30365,44586,62493,1259,1622,1.78,exact
00292300,East Carolina University,NC,Greenville,35.607186,-77.368291,7239,23516,10136,1524,18899,18000,0.329,0.4881,0.881101239,18000,23311,233.03,2019,3,32217,46047,62070,11110,15656,1.98,exact
01099700,East Georgia State College,GA,Swainsboro,32.594944,-82.309021,3136,9488,9664,1440,14240,5500,0.5888,0.3984,0.687276626,5500,11500,114.96,2019,3,51929,77273,93589,54,63,6.72,exact
00142500,Eastern Connecticut State University,CT,Willimantic,41.721673,-72.218753,12304,25708,14434,800,27538,17639,0.3196,0.5796,0.92412039,17639,23700,236.92,2019,3,27843,40054,54472,2450,3302,1.69,exact
00167400,Eastern Illinois University,IL,Charleston,39.479843,-88.175658,12136,14447,10262,150,22548,16632,0.3498,0.4482,0.878444084,16632,21900,218.93,2019,3,29557,40430,54073,2361,3510,1.85,exact
00370800,Eastern Mennonite University,VA,Harrisonburg,38.471134,-78.880326,39220,39220,11730,1000,51950,18750,0.3098,0.6217,0.95,18750,25000,249.92,2019,3,37331,58233,83108,707,938,2.33,exact
00319300,Eastern Oregon University,OR,La Grande,45.319795,-118.092495,9405,22509,10152,1245,20802,13868,0.4036,0.4416,0.833454019,13868,20458,204.51,2019,3,32448,46517,62174,1302,1808,2.27,exact
00292600,Elizabeth City State University,NC,Elizabeth City,36.277978,-76.214041,3260,7260,8543,1240,13043,13078,0.6602,0.6513,0.790769231,13078,23000,229.92,2019,3,25645,36248,45840,565,743,1.58,exact
00167600,Elmhurst University,IL,Elmhurst,41.897164,-87.945369,38654,38654,10776,1200,50630,16500,0.3597,0.5853,0.875455208,16500,20068,200.61,2019,3,33095,48471,65246,1773,2374,2.42,exact
00343200,Erskine College,SC,Due West,34.332087,-82.39095,36510,36510,11465,2100,50075,12000,0.4342,0.7215,0.942257218,12000,27000,269.91,2019,3,25504,37592,48736,160,309,1.39,exact
00167800,Eureka College,IL,Eureka,40.71482,-89.269624,28360,28360,10005,1200,39565,15813,0.386,0.7037,0.944584383,15813,25000,249.92,2019,3,26550,38573,49469,366,428,1.54,exact
00138500,Fairfield University,CT,Fairfield,41.157673,-73.255903,51325,51325,15610,1150,68085,24450,0.0985,0.5117,0.956009427,24450,26322,263.13,2019,3,43436,62577,83312,2006,3273,2.38,exact
00381200,Fairmont State University,WV,Fairmont,39.483079,-80.162433,7738,16814,9730,1000,18468,12500,0.3904,0.5223,0.829367089,12500,21250,212.43,2019,3,28755,41535,60807,1344,2031,1.95,exact
00286600,Fashion Institute of Technology,NY,New York,40.74731,-73.994781,5913,16493,15200,1850,22963,12000,0.3118,0.323,0.746251442,12000,13000,129.96,2019,3,31460,46641,59560,2940,4990,3.59,exact
00292800,Fayetteville State University,NC,Fayetteville,35.073641,-78.891696,5309,16917,9440,420,15169,15520,0.5353,0.5358,0.794050343,15520,22890,228.82,2019,3,31873,46255,70983,2239,3153,2.02,exact
00371100,Ferrum College,VA,Ferrum,36.926912,-80.021639,36695,36695,12400,800,49895,14000,0.5404,0.8158,0.955531453,14000,27000,269.91,2019,3,26454,37489,48558,382,552,1.39,exact
00135300,Fort Lewis College,CO,Durango,37.275939,-107.867422,8896,19552,11858,1240,21994,9726,0.3622,0.3765,0.788602941,9726,18013,180.07,2019,3,24395,33280,44882,1137,1867,1.85,exact
00156600,Fort Valley State University,GA,Fort Valley,32.537595,-83.89537,5832,16554,8372,1500,15704,21500,0.751,0.8308,0.938059188,21500,31000,309.9,2019,3,23134,31640,42066,707,1088,1.02,exact
00922600,Francis Marion University,SC,Florence,34.189777,-79.652854,11160,21544,8230,1138,20528,16750,0.4679,0.5295,0.874366197,16750,27000,269.91,2019,3,26704,38930,53479,1173,1721,1.44,exact
00343400,Furman University,SC,Greenville,34.924676,-82.440458,52092,52092,13362,810,66264,19500,0.1239,0.2868,0.909379968,19500,23731,237.23,2019,3,28483,44070,60144,1006,2348,1.86,exact
00374900,George Mason University,VA,Fairfax,38.829976,-77.307428,13014,37410,12090,1278,26382,16000,0.2958,0.4074,0.836045664,16000,19750,197.43,2019,3,34402,51955,74032,12181,18255,2.63,exact
00160200,Georgia College & State University,GA,Milledgeville,33.082787,-83.231962,9524,28704,11318,1000,21842,16950,0.187,0.4107,0.893638171,16950,22500,224.93,2019,3,30779,45422,60676,2503,3814,2.02,exact
04142900,Georgia Gwinnett College,GA,Lawrenceville,33.979409,-84.00459,4948,13734,13680,1430,20058,8851,0.5141,0.3538,0.661812779,8851,20467,204.6,2019,3,30758,43774,56899,2497,3517,2.14,exact
