pseoInstitutionId,name,state,city,lat,lon,tuitionInState,tuitionOutState,roomCost,bookCost,totalCostEstimate,loanPrincipal,pellGrantRate,federalLoanRate,studentsWithAnyLoan,medianDebtOverall,completerDebt,monthlyPayment,gradCohort,gradCohortYears,y1P25Earnings,y1P50Earnings,y1P75Earnings,y1GradsEarn,y1IpedsCount,y5P25Earnings,y5P50Earnings,y5P75Earnings,y5GradsEarn,y5IpedsCount,y10P25Earnings,y10P50Earnings,y10P75Earnings,y10GradsEarn,y10IpedsCount,earningsDebtRatio,matchMethod
04229500,Texas A&M University - Central Texas,TX,Killeen,31.053407,-97.775182,6483,16299,9226,1400,17109,13612,0.5261,0.5312,0.688693098,13612,17207,172.01,2007,3,29776,37967,51929,119,,44398,53735,71961,106,,54580,74301,103597,115,,2.21,exact
00356500,Texas A&M University - Commerce,TX,Commerce,33.243745,-95.908451,9820,22090,9567,1176,20563,14000,0.4347,0.4782,0.811025461,14000,20500,204.93,2007,3,31899,44638,58834,2761,3733,42425,54593,69214,2995,3733,51836,65755,85390,2873,3733,2.18,fuzzy
01116100,Texas A&M University - Corpus Christi,TX,Corpus Christi,27.713723,-97.32395,9553,20343,11247,1104,21904,14640,0.4027,0.478,0.836698337,14640,23347,233.39,2007,3,30047,43138,62196,2755,4013,44210,59631,76525,3054,4013,54670,72062,99128,3089,4013,1.85,fuzzy
00363900,Texas A&M University - Kingsville,TX,Kingsville,27.525168,-97.882387,9779,25266,8787,1244,19810,15131,0.4592,0.5062,0.802219482,15131,23250,232.42,2007,3,29985,42809,60528,1967,2712,43511,57566,75933,2278,2712,51491,68976,97979,2308,2712,1.84,fuzzy
04248500,Texas A&M University-San Antonio,TX,San Antonio,29.304762,-98.52417,8901,21896,10552,1200,20653,12500,0.5252,0.4758,0.755931279,12500,17584,175.78,2007,3,30216,39984,58692,149,,47119,60013,74849,157,,53735,65353,81817,144,,2.27,exact
00364200,Texas Southern University,TX,Houston,29.721046,-95.361113,9173,21443,9280,1646,20099,14000,0.693,0.698,0.816010329,14000,29340,293.3,2007,3,29260,41768,58490,1600,2506,39374,54826,74563,1795,2506,49346,70659,88720,1839,2506,1.42,exact
03064600,Texas Southmost College,TX,Brownsville,25.899628,-97.492241,3148,4948,8034,1344,12526,6000,0.3507,0.0863,0.315202853,6000,8809,88.06,2007,3,36500,50289,59281,2074,2798,45253,53728,64832,2128,2798,51214,59132,74686,2091,2798,5.71,exact
00361500,Texas State University,TX,San Marcos,29.888885,-97.943029,10855,22307,10880,760,22495,14708,0.3632,0.4915,0.872185154,14708,21218,212.11,2007,3,29119,41360,56402,10424,15257,45713,60756,77172,11948,15257,57234,75418,106357,11501,15257,1.95,exact
00364400,Texas Tech University,TX,Lubbock,33.583448,-101.874783,11600,23870,9956,1200,22756,15750,0.2545,0.3999,0.861119703,15750,22000,219.93,2007,3,31625,45657,63396,8848,14659,50051,66779,91711,10809,14659,62488,89410,134767,10592,14659,2.08,exact
01067400,Texas Tech University Health Sciences Center,TX,Lubbock,33.589284,-101.891915,,,,,,12042,0.1996,0.5237,0.889317889,12042,12500,124.96,2007,3,65312,79549,98075,1259,1549,69413,89216,116045,1352,1549,75657,105209,139297,1270,1549,6.36,exact
